,dates,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1458,2009-06-14,acdc-bag,nicu,gotta-jibboo,punch-you-in-the-eye,sparkle,bathtub-gin,character-zero,tweezer,the-horse,silent-in-the-morning,run-like-an-antelope,mustang-sally,bobby-jean,glory-days,rock-and-roll,light,46-days,limb-by-limb,farmhouse,backwards-down-the-number-line,prince-caspian,first-tube,suzy-greenberg,tweezer-reprise,,,,,,,,,,,,,,,,,,,,,,,,,,
1459,2009-06-16,kill-devil-falls,ocelot,brian-and-robert,sample-in-a-jar,rift,ya-mar,reba,train-song,horn,possum,slave-to-the-traffic-light,halleys-comet,runaway-jim,frankie-says,time-turns-elastic,sleep,mikes-song,i-am-hydrogen,weekapaug-groove,boogie-on-reggae-woman,character-zero,the-star-spangled-banner,mcgrupp-and-the-watchful-hosemasters,while-my-guitar-gently-weeps,,,,,,,,,,,,,,,,,,,,,,,,,,
1460,2009-06-18,golgi-apparatus,chalk-dust-torture,bouncing-around-the-room,wolfmans-brother,divided-sky,heavy-things,walk-away,wilson,tube,alaska,david-bowie,down-with-disease,free,guyute,piper,when-the-circus-comes,harry-hood,the-squirming-coil,you-enjoy-myself,grind,hello-my-baby,hold-your-head-up,bike,loving-cup,,,,,,,,,,,,,,,,,,,,,,,,,,
1461,2009-06-19,backwards-down-the-number-line,acdc-bag,limb-by-limb,the-moma-dance,water-in-the-sky,split-open-and-melt,lawn-boy,the-wedge,stealing-time-from-the-faulty-plan,the-connection,ocelot,fluffhead,a-song-i-heard-the-ocean-sing,drowned,twist,let-me-lie,tweezer,also-sprach-zarathustra,suzy-greenberg,possum,sleeping-monkey,tweezer-reprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1462,2009-06-20,punch-you-in-the-eye,runaway-jim,stash,ya-mar,bathtub-gin,kill-devil-falls,train-song,farmhouse,sparkle,run-like-an-antelope,waves,sample-in-a-jar,maze,makisupa-policeman,ghost,the-lizards,you-enjoy-myself,nicu,prince-caspian,waste,fire,character-zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1463,2009-06-21,brother,wolfmans-brother,funky-bitch,divided-sky,joy,back-on-the-train,taste,poor-heart,the-horse,silent-in-the-morning,the-man-who-stepped-into-yesterday,avenu-malkenu,time-turns-elastic,crosseyed-and-painless,down-with-disease,bug,piper,wading-in-the-velvet-sea,boogie-on-reggae-woman,slave-to-the-traffic-light,grind,frankenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1464,2009-07-30,divided-sky,ocelot,the-wedge,poor-heart,the-moma-dance,horn,stash,the-horse,silent-in-the-morning,possum,mikes-song,i-am-hydrogen,weekapaug-groove,ghost,wolfmans-brother,limb-by-limb,billy-breathes,the-squirming-coil,david-bowie,loving-cup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1465,2009-07-31,runaway-jim,chalk-dust-torture,bathtub-gin,time-turns-elastic,lawn-boy,water-in-the-sky,stealing-time-from-the-faulty-plan,split-open-and-melt,drowned,crosseyed-and-painless,joy,tweezer,backwards-down-the-number-line,fluffhead,piper,a-day-in-the-life,suzy-greenberg,tweezer-reprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1466,2009-08-01,acdc-bag,the-curtain-with,mound,gotta-jibboo,guyute,punch-you-in-the-eye,tube,alaska,run-like-an-antelope,rock-and-roll,down-with-disease,free,esther,dirt,harry-hood,sleeping-monkey,first-tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467,2009-08-02,roses-are-free,wilson,nicu,prince-caspian,back-on-the-train,reba,grind,beauty-of-a-broken-heart,sample-in-a-jar,sugar-shack,waste,kill-devil-falls,boogie-on-reggae-woman,you-enjoy-myself,undermind,drums,seven-below,also-sprach-zarathustra,waves,character-zero,bittersweet-motel,bouncing-around-the-room,slave-to-the-traffic-light,,,,,,,,,,,,,,,,,,,,,,,,,,,
1468,2009-08-05,golgi-apparatus,halleys-comet,chalk-dust-torture,divided-sky,when-the-circus-comes,time-turns-elastic,ya-mar,stealing-time-from-the-faulty-plan,suzy-greenberg,david-bowie,backwards-down-the-number-line,down-with-disease,limb-by-limb,oh-sweet-nuthin,cities,maze,mikes-song,simple,weekapaug-groove,let-me-lie,bold-as-love,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469,2009-08-07,down-with-disease,ocelot,pebbles-and-marbles,possum,sleep,destiny-unbound,stash,sneakin-sally-through-the-alley,cavern,the-moma-dance,light,taste,fluffhead,joy,bathtub-gin,harry-hood,slave-to-the-traffic-light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470,2009-08-08,the-mango-song,chalk-dust-torture,middle-of-the-road,tweezer,driver,twenty-years-later,ya-mar,its-ice,wolfmans-brother,character-zero,run-like-an-antelope,rock-and-roll,makisupa-policeman,alaska,the-wedge,you-enjoy-myself,backwards-down-the-number-line,piper,grind,good-times-bad-times,tweezer-reprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1471,2009-08-11,kill-devil-falls,sample-in-a-jar,ocelot,paul-and-silas,windy-city,the-curtain-with,train-song,gumbo,heavy-things,time-turns-elastic,backwards-down-the-number-line,carini,gotta-jibboo,theme-from-the-bottom,wilson,also-sprach-zarathustra,chalk-dust-torture,harry-hood,the-squirming-coil,loving-cup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1472,2009-08-13,sample-in-a-jar,dinner-and-a-movie,wolfmans-brother,my-friend-my-friend,possum,farmhouse,sugar-shack,brian-and-robert,david-bowie,bathtub-gin,how-high-the-moon,golgi-apparatus,drowned,prince-caspian,rift,the-horse,silent-in-the-morning,sparkle,run-like-an-antelope,suzy-greenberg,fluffhead,joy,first-tube,,,,,,,,,,,,,,,,,,,,,,,,,,,
1473,2009-08-14,punch-you-in-the-eye,acdc-bag,nicu,colonel-forbins-ascent,fly-famous-mockingbird,birds-of-a-feather,lawn-boy,stash,i-didnt-know,middle-of-the-road,character-zero,down-with-disease,wilson,slave-to-the-traffic-light,piper,water-in-the-sky,ghost,psycho-killer,catapult,icculus,you-enjoy-myself,while-my-guitar-gently-weeps,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1474,2009-08-15,crowd-control,kill-devil-falls,the-sloth,beauty-of-a-broken-heart,axilla,foam,esther,ha-ha-ha,party-time,tube,stealing-time-from-the-faulty-plan,strange-design,time-turns-elastic,tweezer,taste,alaska,let-me-lie,46-days,oh-sweet-nuthin,harry-hood,good-times-bad-times,tweezer-reprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1475,2009-08-16,llama,the-moma-dance,guyute,anything-but-me,cars-trucks-buses,chalk-dust-torture,golgi-apparatus,david-bowie,cavern,possum,ocelot,run-like-an-antelope,backwards-down-the-number-line,twenty-years-later,halleys-comet,rock-and-roll,harpua,i-kissed-a-girl,hold-your-head-up,you-enjoy-myself,grind,i-been-around,highway-to-hell,,,,,,,,,,,,,,,,,,,,,,,,,,,
1476,2009-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1477,2009-10-30,party-time,chalk-dust-torture,the-moma-dance,nicu,stealing-time-from-the-faulty-plan,stash,i-didnt-know,poor-heart,cavern,beauty-of-a-broken-heart,ocelot,time-turns-elastic,punch-you-in-the-eye,down-with-disease,prince-caspian,wolfmans-brother,piper,joy,david-bowie,harry-hood,golgi-apparatus,character-zero,http://www.phish.com/festival8,henrietta.html,origin-a-baby-blue-electrolux-vacuum-cleaner-aka-the-va,,,,,,,,,,,,,,,,,,,,,,,,,
1478,2009-10-31,sample-in-a-jar,divided-sky,lawn-boy,kill-devil-falls,bathtub-gin,the-squirming-coil,runaway-jim,possum,run-like-an-antelope,rocks-off,rip-this-joint,shake-your-hips,casino-boogie,tumbling-dice,sweet-virginia,torn-and-frayed,sweet-black-angel,loving-cup,happy,turd-on-the-run,ventilator-blues,i-just-want-to-see-his-face,let-it-loose,all-down-the-line,stop-breaking-down,shine-a-light,soul-survivor,backwards-down-the-number-line,fluffhead,ghost,when-the-circus-comes,you-enjoy-myself,suzy-greenberg,http://www.phish.com/festival8,,,,,,,,,,,,,,,,
1479,2009-11-01,water-in-the-sky,back-on-the-train,brian-and-robert,invisible,strange-design,mountains-in-the-mist,the-curtain-with,army-of-one,sleep-again,my-sweet-one,let-me-lie,bouncing-around-the-room,train-song,wilson,mcgrupp-and-the-watchful-hosemasters,driver,talk,secret-smile,acdc-bag,rift,gotta-jibboo,heavy-things,reba,the-wedge,guelah-papyrus,undermind,sparkle,split-open-and-melt,tweezer,maze,free,sugar-shack,limb-by-limb,theme-from-the-bottom,mikes-song,also-sprach-zarathustra,light,slave-to-the-traffic-light,grind,esther,tweezer-reprise,http://www.phish.com/festival8,,,,,,,,
1480,2009-11-18,acdc-bag,foam,stealing-time-from-the-faulty-plan,bouncing-around-the-room,sample-in-a-jar,kill-devil-falls,its-ice,horn,mountains-in-the-mist,poor-heart,46-days,david-bowie,runaway-jim,down-with-disease,free,waste,taste,bug,wading-in-the-velvet-sea,mikes-song,i-am-hydrogen,weekapaug-groove,cavern,character-zero,,,,,,,,,,,,,,,,,,,,,,,,,,
1481,2009-11-20,chalk-dust-torture,the-moma-dance,divided-sky,alaska,water-in-the-sky,fast-enough-for-you,time-turns-elastic,gotta-jibboo,fluffhead,punch-you-in-the-eye,tweezer,light,back-on-the-train,possum,slave-to-the-traffic-light,you-enjoy-myself,joy,golgi-apparatus,tweezer-reprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1482,2009-11-21,wilson,nicu,wolfmans-brother,ocelot,torn-and-frayed,strange-design,ginseng-sullivan,albuquerque,split-open-and-melt,dirt,limb-by-limb,run-like-an-antelope,rock-and-roll,ghost,if-i-could,backwards-down-the-number-line,prince-caspian,suzy-greenberg,also-sprach-zarathustra,the-squirming-coil,sleeping-monkey,axilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1483,2009-11-22,david-bowie,julius,sparkle,kill-devil-falls,lawn-boy,heavy-things,funky-bitch,sample-in-a-jar,boogie-on-reggae-woman,let-me-lie,beauty-of-a-broken-heart,stash,drowned,twist,piper,big-black-furry-creature-from-mars,tube,theme-from-the-bottom,maze,the-horse,silent-in-the-morning,character-zero,first-tube,good-times-bad-times,,,,,,,,,,,,,,,,,,,,,,,,,,
1484,2009-11-24,chalk-dust-torture,bathtub-gin,cities,camel-walk,the-curtain-with,the-wedge,the-moma-dance,reba,golgi-apparatus,stealing-time-from-the-faulty-plan,possum,down-with-disease,twenty-years-later,harry-hood,the-mango-song,mikes-song,simple,slave-to-the-traffic-light,weekapaug-groove,a-day-in-the-life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1485,2009-11-25,kill-devil-falls,46-days,sugar-shack,halleys-comet,divided-sky,sleep-again,ocelot,train-song,wilson,run-like-an-antelope,birds-of-a-feather,farmhouse,tweezer,you-enjoy-myself,esther,time-turns-elastic,tweezer-reprise,oh-sweet-nuthin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1486,2009-11-27,acdc-bag,maze,driver,my-minds-got-a-mind-of-its-own,gumbo,bouncing-around-the-room,its-ice,two-versions-of-me,timber-jerry,limb-by-limb,cavern,light,my-friend-my-friend,golden-age,on-your-way-down,fluffhead,piper,tomorrows-song,prince-caspian,harry-hood,suzy-greenberg,the-squirming-coil,i-been-around,fire,,,,,,,,,,,,,,,,,,,,,,,,,,
1487,2009-11-28,party-time,stealing-time-from-the-faulty-plan,uncle-pen,sanity,foam,walk-away,nicu,alaska,split-open-and-melt,joy,vultures,backwards-down-the-number-line,seven-below,ghost,cool-it-down,gotta-jibboo,let-me-lie,wolfmans-brother,julius,you-enjoy-myself,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1488,2009-11-29,possum,down-with-disease,nellie-kane,weigh,when-the-circus-comes,kill-devil-falls,water-in-the-sky,stash,meat,undermind,mikes-song,i-am-hydrogen,weekapaug-groove,the-moma-dance,rock-and-roll,light,crimes-of-the-mind,pebbles-and-marbles,also-sprach-zarathustra,golgi-apparatus,cavern,run-like-an-antelope,free-bird,carini,waste,,,,,,,,,,,,,,,,,,,,,,,,,
1489,2009-12-02,acdc-bag,chalk-dust-torture,wolfmans-brother,nicu,ocelot,brian-and-robert,poor-heart,sample-in-a-jar,peaches-en-regalia,divided-sky,cavern,golgi-apparatus,light,slave-to-the-traffic-light,tweezer,joy,sparkle,harry-hood,wading-in-the-velvet-sea,suzy-greenberg,run-like-an-antelope,a-day-in-the-life,tweezer-reprise,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490,2009-12-03,punch-you-in-the-eye,backwards-down-the-number-line,axilla,taste,boogie-on-reggae-woman,stash,lawn-boy,time-turns-elastic,back-on-the-train,julius,down-with-disease,piper,fluffhead,cities,free,halleys-comet,also-sprach-zarathustra,david-bowie,character-zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491,2009-12-04,heavy-things,possum,wilson,kill-devil-falls,glide,46-days,bouncing-around-the-room,reba,dinner-and-a-movie,guyute,maze,first-tube,scents-and-subtle-sounds,rock-and-roll,seven-below,twist,mikes-song,i-am-hydrogen,weekapaug-groove,the-horse,silent-in-the-morning,you-enjoy-myself,shine-a-light,,,,,,,,,,,,,,,,,,,,,,,,,,,
1492,2009-12-05,acdc-bag,chalk-dust-torture,stealing-time-from-the-faulty-plan,divided-sky,ya-mar,sneakin-sally-through-the-alley,the-old-home-place,cavern,funky-bitch,david-bowie,the-wedge,bold-as-love,tweezer,light,piper,free,sweet-virginia,harry-hood,suzy-greenberg,golgi-apparatus,run-like-an-antelope,loving-cup,tweezer-reprise,,,,,,,,,,,,,,,,,,,,,,,,,,,
1493,2009-12-28,sample-in-a-jar,nicu,my-soul,roggae,undermind,bouncing-around-the-room,poor-heart,stash,i-didnt-know,beauty-of-a-broken-heart,possum,mikes-song,light,i-am-hydrogen,weekapaug-groove,alaska,backwards-down-the-number-line,makisupa-policeman,harry-hood,contact,character-zero,first-tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1494,2009-12-29,golgi-apparatus,maze,driver,the-connection,wolfmans-brother,ocelot,reba,access-me,divided-sky,cavern,kill-devil-falls,tweezer,prince-caspian,gotta-jibboo,wilson,heavy-things,also-sprach-zarathustra,slave-to-the-traffic-light,sleeping-monkey,tweezer-reprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495,2009-12-30,soul-shakedown-party,runaway-jim,jesus-just-left-chicago,dixie-cannonball,stealing-time-from-the-faulty-plan,corinna,whats-the-use,tela,gone,rocky-top,chalk-dust-torture,david-bowie,sand,the-curtain-with,lifeboy,back-on-the-train,wading-in-the-velvet-sea,hold-your-head-up,love-you,free,boogie-on-reggae-woman,run-like-an-antelope,frankenstein,http://www.phish.net/faq/vacuum,,,,,,,,,,,,,,,,,,,,,,,,,,
1496,2009-12-31,acdc-bag,46-days,water-in-the-sky,bathtub-gin,punch-you-in-the-eye,the-moma-dance,guyute,swept-away,steep,demand,seven-below,lawn-boy,julius,rock-and-roll,piper,simple,theme-from-the-bottom,shine-a-light,ghost,no2,suzy-greenberg,party-time,auld-lang-syne,down-with-disease,fluffhead,joy,the-squirming-coil,you-enjoy-myself,blue-moon,loving-cup,,,,,,,,,,,,,,,,,,,,
1497,2010-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1498,2010-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1499,2010-06-11,down-with-disease,wolfmans-brother,possum,boogie-on-reggae-woman,reba,jesus-just-left-chicago,divided-sky,golgi-apparatus,david-bowie,light,maze,ghost,limb-by-limb,prince-caspian,the-horse,silent-in-the-morning,run-like-an-antelope,show-of-life,cavern,julius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,2010-06-12,look-out-cleveland,ocelot,water-in-the-sky,stash,the-ballad-of-curtis-loew,sample-in-a-jar,time-turns-elastic,mikes-song,i-am-hydrogen,weekapaug-groove,rock-and-roll,harry-hood,backwards-down-the-number-line,twenty-years-later,instant-karma,the-oh-kee-pa-ceremony,suzy-greenberg,waste,character-zero,the-squirming-coil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501,2010-06-13,gotta-jibboo,chalk-dust-torture,fluffhead,funky-bitch,runaway-jim,nicu,horn,its-ice,bouncing-around-the-room,sparkle,split-open-and-melt,drowned,tweezer,twist,piper,free,wading-in-the-velvet-sea,you-enjoy-myself,bold-as-love,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502,2010-06-15,tube,kill-devil-falls,slave-to-the-traffic-light,lawn-boy,poor-heart,acdc-bag,the-moma-dance,my-friend-my-friend,cold-water,bathtub-gin,stealing-time-from-the-faulty-plan,wilson,seven-below,46-days,idea,also-sprach-zarathustra,simple,joy,taste,theme-from-the-bottom,a-day-in-the-life,heavy-things,first-tube,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,2010-06-17,punch-you-in-the-eye,ocelot,dinner-and-a-movie,stash,esther,walk-away,divided-sky,when-the-circus-comes,sugar-shack,alaska,golgi-apparatus,party-time,down-with-disease,sand,the-horse,silent-in-the-morning,guyute,farmhouse,mikes-song,i-am-hydrogen,weekapaug-groove,shine-a-light,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504,2010-06-18,fee,rift,wolfmans-brother,summer-of-89,foam,possum,the-moma-dance,julius,reba,cavern,halleys-comet,light,billy-breathes,tweezer,theme-from-the-bottom,harry-hood,wading-in-the-velvet-sea,stealing-time-from-the-faulty-plan,sleeping-monkey,tweezer-reprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505,2010-06-19,tweezer-reprise,chalk-dust-torture,funky-bitch,runaway-jim,ya-mar,sample-in-a-jar,axilla,fluffhead,bathtub-gin,suzy-greenberg,rock-and-roll,free,backwards-down-the-number-line,halfway-to-the-moon,prince-caspian,joy,david-bowie,show-of-life,the-squirming-coil,character-zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506,2010-06-20,brother,acdc-bag,back-on-the-train,undermind,cities,gotta-jibboo,roggae,sleep-again,lawn-boy,run-like-an-antelope,carini,the-mango-song,wilson,drowned,swept-away,steep,makisupa-policeman,piper,also-sprach-zarathustra,you-enjoy-myself,frankenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1507,2010-06-22,lit-o-bit,camel-walk,possum,divided-sky,dirt,sample-in-a-jar,kill-devil-falls,dr-gabel,run-like-an-antelope,mikes-song,i-am-hydrogen,weekapaug-groove,sneakin-sally-through-the-alley,light,46-days,limb-by-limb,golgi-apparatus,slave-to-the-traffic-light,loving-cup,first-tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1508,2010-06-24,david-bowie,stealing-time-from-the-faulty-plan,water-in-the-sky,ocelot,uncle-pen,boogie-on-reggae-woman,gumbo,timber-jerry,i-didnt-know,birds-of-a-feather,bouncing-around-the-room,reba,the-rover,down-with-disease,crosseyed-and-painless,nothing,twenty-years-later,harry-hood,fluffhead,julius,you-enjoy-myself,bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1509,2010-06-25,alumni-blues,letter-to-jimmy-page,big-black-furry-creature-from-mars,runaway-jim,army-of-one,free-man-in-paris,summer-of-89,split-open-and-melt,the-sloth,time-turns-elastic,golgi-apparatus,chalk-dust-torture,prince-caspian,heavy-things,alaska,also-sprach-zarathustra,billie-jean,light,possum,character-zero,shine-a-light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1510,2010-06-26,crowd-control,kill-devil-falls,acdc-bag,sugar-shack,tube,in-the-aeroplane-over-the-sea,stash,backwards-down-the-number-line,nicu,46-days,suzy-greenberg,rock-and-roll,free,fast-enough-for-you,sparkle,tweezer,the-horse,silent-in-the-morning,wolfmans-brother,slave-to-the-traffic-light,tweezer-reprise,show-of-life,good-times-bad-times,,,,,,,,,,,,,,,,,,,,,,,,,,,
1511,2010-06-27,walfredo,mellow-mood,stealing-time-from-the-faulty-plan,divided-sky,tela,my-soul,ginseng-sullivan,sample-in-a-jar,bathtub-gin,brian-and-robert,run-like-an-antelope,wilson,meatstick,saw-it-again,piper,ghost,jumpin-jack-flash,contact,you-enjoy-myself,fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512,2010-06-29,the-connection,down-with-disease,sample-in-a-jar,ocelot,reba,horn,funky-bitch,undermind,the-ballad-of-curtis-loew,david-bowie,possum,mikes-song,simple,i-am-the-walrus,weekapaug-groove,limb-by-limb,joy,harry-hood,golgi-apparatus,first-tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513,2010-07-01,llama,roses-are-free,kill-devil-falls,time-loves-a-hero,alaska,water-in-the-sky,runaway-jim,the-moma-dance,divided-sky,cavern,backwards-down-the-number-line,halleys-comet,light,fluffhead,have-mercy,light-up-or-leave-me-alone,free,wading-in-the-velvet-sea,the-squirming-coil,suzy-greenberg,boogie-on-reggae-woman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514,2010-07-02,buried-alive,acdc-bag,vultures,wolfmans-brother,back-on-the-train,the-wedge,mexican-cousin,stash,sparkle,chalk-dust-torture,drowned,46-days,twenty-years-later,the-lizards,carini,fuck-your-face,also-sprach-zarathustra,you-enjoy-myself,a-day-in-the-life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1515,2010-07-03,character-zero,destiny-unbound,rift,mcgrupp-and-the-watchful-hosemasters,bathtub-gin,mountains-in-the-mist,nicu,gumbo,my-sweet-one,stealing-time-from-the-faulty-plan,strange-design,sanity,run-like-an-antelope,rock-and-roll,prince-caspian,tweezer,slave-to-the-traffic-light,bouncing-around-the-room,possum,backwards-down-the-number-line,harry-hood,loving-cup,sleeping-monkey,tweezer-reprise,,,,,,,,,,,,,,,,,,,,,,,,,,
1516,2010-07-04,the-star-spangled-banner,punch-you-in-the-eye,colonel-forbins-ascent,fly-famous-mockingbird,camel-walk,ocelot,heavy-things,my-friend-my-friend,lawn-boy,david-bowie,gotta-jibboo,down-with-disease,piper,ghost,waste,julius,mikes-song,tela,harpua,killing-in-the-name,weekapaug-groove,first-tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1517,2010-08-05,possum,wolfmans-brother,divided-sky,funky-bitch,kill-devil-falls,halleys-comet,sample-in-a-jar,nicu,bouncing-around-the-room,run-like-an-antelope,down-with-disease,free,alaska,back-on-the-train,maze,joy,tweezer,fluffhead,loving-cup,tweezer-reprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1518,2010-08-06,chalk-dust-torture,guyute,ocelot,its-ice,cities,the-moma-dance,bathtub-gin,stealing-time-from-the-faulty-plan,rock-and-roll,ghost,mikes-song,simple,backwards-down-the-number-line,show-of-life,seven-below,weekapaug-groove,you-enjoy-myself,good-times-bad-times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1519,2010-08-07,acdc-bag,foam,gotta-jibboo,reba,sleep-again,army-of-one,poor-heart,46-days,tube,character-zero,wilson,light,twenty-years-later,harry-hood,theme-from-the-bottom,also-sprach-zarathustra,suzy-greenberg,slave-to-the-traffic-light,the-lizards,first-tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1520,2010-08-09,down-with-disease,camel-walk,ocelot,light-up-or-leave-me-alone,summer-of-89,stash,cavern,the-wedge,possum,julius,sand,backwards-down-the-number-line,prince-caspian,tweezer,boogie-on-reggae-woman,piper,mountains-in-the-mist,david-bowie,a-day-in-the-life,quinn-the-eskimo,tweezer-reprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1521,2010-08-10,the-squirming-coil,stealing-time-from-the-faulty-plan,ya-mar,timber-jerry,let-me-lie,divided-sky,walk-away,roses-are-free,limb-by-limb,bouncing-around-the-room,run-like-an-antelope,party-time,mikes-song,crosseyed-and-painless,i-am-hydrogen,weekapaug-groove,destiny-unbound,carini,free,heavy-things,you-enjoy-myself,shine-a-light,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1522,2010-08-12,runaway-jim,punch-you-in-the-eye,roggae,cars-trucks-buses,sample-in-a-jar,nicu,horn,sugar-shack,wolfmans-brother,time-turns-elastic,drowned,gotta-jibboo,bathtub-gin,my-friend-my-friend,buffalo-bill,twist,the-horse,silent-in-the-morning,split-open-and-melt,dog-faced-boy,harry-hood,golgi-apparatus,fee,no2,kung,fire,,,,,,,,,,,,,,,,,,,,,,,,
1523,2010-08-13,chalk-dust-torture,guelah-papyrus,my-sweet-one,axilla,i-didnt-know,walls-of-the-cave,stash,train-song,backwards-down-the-number-line,ocelot,the-ballad-of-curtis-loew,wilson,possum,halleys-comet,light,46-days,maze,meatstick,the-mango-song,fluffhead,julius,contact,slave-to-the-traffic-light,,,,,,,,,,,,,,,,,,,,,,,,,,,
1524,2010-08-14,tube,the-oh-kee-pa-ceremony,suzy-greenberg,funky-bitch,reba,fuck-your-face,alaska,back-on-the-train,taste,when-the-circus-comes,lawn-boy,sparkle,gumbo,run-like-an-antelope,the-sloth,down-with-disease,whats-the-use,scent-of-a-mule,mikes-song,dirt,sneakin-sally-through-the-alley,weekapaug-groove,bug,quinn-the-eskimo,,,,,,,,,,,,,,,,,,,,,,,,,,
1525,2010-08-15,tweezer,acdc-bag,on-your-way-down,divided-sky,stealing-time-from-the-faulty-plan,water-in-the-sky,the-moma-dance,farmhouse,david-bowie,ghost,theme-from-the-bottom,big-black-furry-creature-from-mars,you-enjoy-myself,piper,also-sprach-zarathustra,while-my-guitar-gently-weeps,character-zero,oh-sweet-nuthin,cavern,joy,tweezer-reprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1526,2010-08-17,fluffhead,kill-devil-falls,cities,funky-bitch,wilson,reba,walk-away,wolfmans-brother,possum,lengthwise,maze,halleys-comet,mikes-song,simple,backwards-down-the-number-line,prince-caspian,rock-and-roll,weekapaug-groove,loving-cup,show-of-life,golgi-apparatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1527,2010-08-18,down-with-disease,sample-in-a-jar,guelah-papyrus,poor-heart,ocelot,chalk-dust-torture,bathtub-gin,tube,destiny-unbound,joy,run-like-an-antelope,axilla,timber-jerry,light,46-days,my-friend-my-friend,harry-hood,tweezer,the-horse,silent-in-the-morning,you-enjoy-myself,suzy-greenberg,tweezer-reprise,,,,,,,,,,,,,,,,,,,,,,,,,,,
1528,2010-10-08,down-with-disease,cities,possum,wolfmans-brother,chalk-dust-torture,rock-and-roll,also-sprach-zarathustra,backwards-down-the-number-line,harry-hood,light,suzy-greenberg,you-enjoy-myself,cavern,first-tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1529,2010-10-10,chalk-dust-torture,ocelot,its-ice,bouncing-around-the-room,funky-bitch,acdc-bag,nicu,the-moma-dance,horn,stash,golgi-apparatus,mikes-song,simple,ghost,weekapaug-groove,fee,makisupa-policeman,my-problem-right-there,slave-to-the-traffic-light,strange-design,julius,loving-cup,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530,2010-10-11,runaway-jim,foam,back-on-the-train,wolfmans-brother,reba,halleys-comet,tweezer,what-things-seem,the-squirming-coil,run-like-an-antelope,golden-age,piper,camel-walk,alaska,gotta-jibboo,wading-in-the-velvet-sea,twist,fluffhead,backwards-down-the-number-line,sleeping-monkey,tweezer-reprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
